providerOutcomeId,providerId,providerOfferId,label,oddsAmerican,oddsDecimal,oddsDecimalDisplay,oddsFractional,line,participant,participantType,main,sortOrder,tags,participants,category,subcategory,prop_label
0HC79132952N750_3,2,2_79132952,Creighton,-120,1.83333334,1.83,5/6,-7.5,Creighton,Team,True,-7501,"['MainPointLine', 'SGP']","[{'id': '43875', 'name': 'Creighton', 'type': 'Team'}]",Game Lines,Game,Spread
0HC79132952P750_1,2,2_79132952,Louisville,-110,1.90909091,1.90,10/11,7.5,Louisville,Team,True,-7499,"['MainPointLine', 'SGP']","[{'id': '41477', 'name': 'Louisville', 'type': 'Team'}]",Game Lines,Game,Spread
0OU79132952O16250_1,2,3_79132952,Over,-120,1.83333334,1.83,5/6,162.5,,Unknown,True,162500,"['MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0OU79132952U16250_3,2,3_79132952,Under,-110,1.90909091,1.90,10/11,162.5,,Unknown,True,162502,"['MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0ML79132952_3,2,1_79132952,Creighton,-445,1.22471911,1.22,20/89,None Specified,Creighton,Team,True,1280707235,['SGP'],"[{'id': '43875', 'name': 'Creighton', 'type': 'Team'}]",Game Lines,Game,Moneyline
0ML79132952_1,2,1_79132952,Louisville,+310,4.1,4.10,31/10,None Specified,Louisville,Team,True,1280709231,['SGP'],"[{'id': '41477', 'name': 'Louisville', 'type': 'Team'}]",Game Lines,Game,Moneyline
0HC79132960P1050_3,2,2_79132960,High Point,-125,1.8,1.80,4/5,10.5,High Point,Team,True,10499,"['MainPointLine', 'SGP']","[{'id': '45137', 'name': 'High Point', 'type': 'Team'}]",Game Lines,Game,Spread
0HC79132960N1050_1,2,2_79132960,Purdue,-105,1.95238096,1.95,20/21,-10.5,Purdue,Team,True,10501,"['MainPointLine', 'SGP']","[{'id': '42127', 'name': 'Purdue', 'type': 'Team'}]",Game Lines,Game,Spread
0OU79132960O14150_1,2,3_79132960,Over,-120,1.83333334,1.83,5/6,141.5,,Unknown,True,141500,"['MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0OU79132960U14150_3,2,3_79132960,Under,-110,1.90909091,1.90,10/11,141.5,,Unknown,True,141502,"['MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0ML79132960_3,2,1_79132960,High Point,+575,6.75,6.75,23/4,None Specified,High Point,Team,True,1280707774,['SGP'],"[{'id': '45137', 'name': 'High Point', 'type': 'Team'}]",Game Lines,Game,Moneyline
0ML79132960_1,2,1_79132960,Purdue,-950,1.10526316,1.10,2/19,None Specified,Purdue,Team,True,1280709770,['SGP'],"[{'id': '42127', 'name': 'Purdue', 'type': 'Team'}]",Game Lines,Game,Moneyline
0HC79092767P1650_3,2,2_79092767,Montana,-110,1.90909091,1.90,10/11,16.5,Montana,Team,True,16499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '42575', 'name': 'Montana', 'type': 'Team'}]",Game Lines,Game,Spread
0HC79092767N1650_1,2,2_79092767,Wisconsin,-110,1.90909091,1.90,10/11,-16.5,Wisconsin,Team,True,16501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '43620', 'name': 'Wisconsin', 'type': 'Team'}]",Game Lines,Game,Spread
0OU79092767O15350_1,2,3_79092767,Over,-105,1.95238096,1.95,20/21,153.5,,Unknown,True,153500,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0OU79092767U15350_3,2,3_79092767,Under,-115,1.86956522,1.86,20/23,153.5,,Unknown,True,153502,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0ML79092767_3,2,1_79092767,Montana,+900,10,10.00,9/1,None Specified,Montana,Team,True,1279858456,['SGP'],"[{'id': '42575', 'name': 'Montana', 'type': 'Team'}]",Game Lines,Game,Moneyline
0ML79092767_1,2,1_79092767,Wisconsin,-1600,1.0625,1.06,1/16,None Specified,Wisconsin,Team,True,1279860452,['SGP'],"[{'id': '43620', 'name': 'Wisconsin', 'type': 'Team'}]",Game Lines,Game,Moneyline
0HC79092890P2850_3,2,2_79092890,SIU Edwardsville,-108,1.92592593,1.92,25/27,28.5,SIU Edwardsville,Team,True,28499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '43647', 'name': 'SIU Edwardsville', 'type': 'Team'}]",Game Lines,Game,Spread
