providerOutcomeId,providerId,providerOfferId,label,oddsAmerican,oddsDecimal,oddsDecimalDisplay,oddsFractional,line,participant,participantType,main,sortOrder,tags,participants,category,subcategory,prop_label
0HC78801697N150_3,2,2_78801697,LA Dodgers,+114,2.14,2.14,57/50,-1.5,LA Dodgers,Team,True,-1501,"['MainPointLine', 'SGP']","[{'id': '29931', 'name': 'LA Dodgers', 'type': 'Team'}]",Game Lines,Game,Run Line
0HC78801697P150_1,2,2_78801697,CHI Cubs,-135,1.74074075,1.74,20/27,1.5,CHI Cubs,Team,True,-1499,"['MainPointLine', 'SGP']","[{'id': '29894', 'name': 'CHI Cubs', 'type': 'Team'}]",Game Lines,Game,Run Line
0OU78801697O800_1,2,3_78801697,Over,-105,1.95238096,1.95,20/21,8,,Unknown,True,8000,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0OU78801697U800_3,2,3_78801697,Under,-115,1.86956522,1.86,20/23,8,,Unknown,True,8002,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0ML78801697_3,2,1_78801697,LA Dodgers,-155,1.6451613,1.64,20/31,None Specified,LA Dodgers,Team,True,1272771467,['SGP'],"[{'id': '29931', 'name': 'LA Dodgers', 'type': 'Team'}]",Game Lines,Game,Moneyline
0ML78801697_1,2,1_78801697,CHI Cubs,+130,2.3,2.30,13/10,None Specified,CHI Cubs,Team,True,1272773463,['SGP'],"[{'id': '29894', 'name': 'CHI Cubs', 'type': 'Team'}]",Game Lines,Game,Moneyline
0QA239088993#187857891_13L84240Q1-446308922Q20,2,239088993,1+,+600,7,7.00,6/1,None Specified,Andy Pages,Unknown,True,70091,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '459808', 'name': 'Andy Pages', 'type': 'Player'}]",Batter Props,Home Runs,Andy Pages Home Runs
0QA239088993#187857892_13L84240Q1475630076Q20,2,239088993,2+,+6000,61,61.00,60/1,None Specified,Andy Pages,Unknown,None Specified,610092,['SGP'],"[{'id': '459808', 'name': 'Andy Pages', 'type': 'Player'}]",Batter Props,Home Runs,Andy Pages Home Runs
0QA239088999#187857917_13L84240Q1-446308922Q20,2,239088999,1+,+900,10,10.00,9/1,None Specified,Carson Kelly,Unknown,True,100017,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32117', 'name': 'Carson Kelly', 'type': 'Player'}]",Batter Props,Home Runs,Carson Kelly Home Runs
0QA239088999#187857918_13L84240Q1475630076Q20,2,239088999,2+,+10000,101,101.00,100/1,None Specified,Carson Kelly,Unknown,None Specified,1010018,['SGP'],"[{'id': '32117', 'name': 'Carson Kelly', 'type': 'Player'}]",Batter Props,Home Runs,Carson Kelly Home Runs
0QA239088978#187857874_13L84240Q1-446308922Q20,2,239088978,1+,+650,7.5,7.50,13/2,None Specified,Dansby Swanson,Unknown,True,75074,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32252', 'name': 'Dansby Swanson', 'type': 'Player'}]",Batter Props,Home Runs,Dansby Swanson Home Runs
0QA239088978#187857877_13L84240Q1475630076Q20,2,239088978,2+,+7500,76,76.00,75/1,None Specified,Dansby Swanson,Unknown,None Specified,760077,['SGP'],"[{'id': '32252', 'name': 'Dansby Swanson', 'type': 'Player'}]",Batter Props,Home Runs,Dansby Swanson Home Runs
0QA239088998#187857915_13L84240Q1-446308922Q20,2,239088998,1+,+600,7,7.00,6/1,None Specified,Freddie Freeman,Unknown,True,70015,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32190', 'name': 'Freddie Freeman', 'type': 'Player'}]",Batter Props,Home Runs,Freddie Freeman Home Runs
0QA239088998#187857916_13L84240Q1475630076Q20,2,239088998,2+,+6000,61,61.00,60/1,None Specified,Freddie Freeman,Unknown,None Specified,610016,['SGP'],"[{'id': '32190', 'name': 'Freddie Freeman', 'type': 'Player'}]",Batter Props,Home Runs,Freddie Freeman Home Runs
0QA239088994#187857906_13L84240Q1-446308922Q20,2,239088994,1+,+550,6.5,6.50,11/2,None Specified,Ian Happ,Unknown,True,65006,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32388', 'name': 'Ian Happ', 'type': 'Player'}]",Batter Props,Home Runs,Ian Happ Home Runs
0QA239088994#187857907_13L84240Q1475630076Q20,2,239088994,2+,+7000,71,71.00,70/1,None Specified,Ian Happ,Unknown,None Specified,710007,['SGP'],"[{'id': '32388', 'name': 'Ian Happ', 'type': 'Player'}]",Batter Props,Home Runs,Ian Happ Home Runs
0QA239088971#187857896_13L84240Q1-446308922Q20,2,239088971,1+,+1800,19,19.00,18/1,None Specified,Jon Berti,Unknown,True,190096,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '31467', 'name': 'Jon Berti', 'type': 'Player'}]",Batter Props,Home Runs,Jon Berti Home Runs
0QA239088971#187857897_13L84240Q1475630076Q20,2,239088971,2+,+20000,201,201.00,200/1,None Specified,Jon Berti,Unknown,None Specified,2010097,['SGP'],"[{'id': '31467', 'name': 'Jon Berti', 'type': 'Player'}]",Batter Props,Home Runs,Jon Berti Home Runs
0QA239088991#187857884_13L84240Q1-446308922Q20,2,239088991,1+,+450,5.5,5.50,9/2,None Specified,Kyle Tucker,Unknown,True,55084,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32010', 'name': 'Kyle Tucker', 'type': 'Player'}]",Batter Props,Home Runs,Kyle Tucker Home Runs
0QA239088991#187857885_13L84240Q1475630076Q20,2,239088991,2+,+4500,46,46.00,45/1,None Specified,Kyle Tucker,Unknown,None Specified,460085,['SGP'],"[{'id': '32010', 'name': 'Kyle Tucker', 'type': 'Player'}]",Batter Props,Home Runs,Kyle Tucker Home Runs
0QA239089010#187857933_13L84240Q1-446308922Q20,2,239089010,1+,+850,9.5,9.50,17/2,None Specified,Matt Shaw,Unknown,True,95033,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '721198', 'name': 'Matt Shaw', 'type': 'Player'}]",Batter Props,Home Runs,Matt Shaw Home Runs
0QA239089010#187857934_13L84240Q1475630076Q20,2,239089010,2+,+10000,101,101.00,100/1,None Specified,Matt Shaw,Unknown,None Specified,1010034,['SGP'],"[{'id': '721198', 'name': 'Matt Shaw', 'type': 'Player'}]",Batter Props,Home Runs,Matt Shaw Home Runs
0QA239088997#187857913_13L84240Q1-446308922Q20,2,239088997,1+,+360,4.6,4.60,18/5,None Specified,Max Muncy,Unknown,True,46013,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32690', 'name': 'Max Muncy', 'type': 'Player'}]",Batter Props,Home Runs,Max Muncy Home Runs
0QA239088997#187857914_13L84240Q1475630076Q20,2,239088997,2+,+3000,31,31.00,30/1,None Specified,Max Muncy,Unknown,None Specified,310014,['SGP'],"[{'id': '32690', 'name': 'Max Muncy', 'type': 'Player'}]",Batter Props,Home Runs,Max Muncy Home Runs
0QA239089009#187857935_13L84240Q1-446308922Q20,2,239089009,1+,+550,6.5,6.50,11/2,None Specified,Michael Busch,Unknown,True,65035,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '459806', 'name': 'Michael Busch', 'type': 'Player'}]",Batter Props,Home Runs,Michael Busch Home Runs
0QA239089009#187857936_13L84240Q1475630076Q20,2,239089009,2+,+6500,66,66.00,65/1,None Specified,Michael Busch,Unknown,None Specified,660036,['SGP'],"[{'id': '459806', 'name': 'Michael Busch', 'type': 'Player'}]",Batter Props,Home Runs,Michael Busch Home Runs
0QA239214028#188388413_13L84240Q1-446308922Q20,2,239214028,1+,+600,7,7.00,6/1,None Specified,Michael Conforto,Unknown,True,70013,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '31762', 'name': 'Michael Conforto', 'type': 'Player'}]",Batter Props,Home Runs,Michael Conforto Home Runs
0QA239214028#188388414_13L84240Q1475630076Q20,2,239214028,2+,+7000,71,71.00,70/1,None Specified,Michael Conforto,Unknown,None Specified,710014,['SGP'],"[{'id': '31762', 'name': 'Michael Conforto', 'type': 'Player'}]",Batter Props,Home Runs,Michael Conforto Home Runs
0QA239088987#187857838_13L84240Q1-446308922Q20,2,239088987,1+,+1100,12,12.00,11/1,None Specified,Miguel Rojas,Unknown,True,120038,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32765', 'name': 'Miguel Rojas', 'type': 'Player'}]",Batter Props,Home Runs,Miguel Rojas Home Runs
0QA239088987#187857839_13L84240Q1475630076Q20,2,239088987,2+,+14000,141,141.00,140/1,None Specified,Miguel Rojas,Unknown,None Specified,1410039,['SGP'],"[{'id': '32765', 'name': 'Miguel Rojas', 'type': 'Player'}]",Batter Props,Home Runs,Miguel Rojas Home Runs
0QA239089014#187857952_13L84240Q1-446308922Q20,2,239089014,1+,+800,9,9.00,8/1,None Specified,Pete Crow-Armstrong,Unknown,True,90052,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '494682', 'name': 'Pete Crow-Armstrong', 'type': 'Player'}]",Batter Props,Home Runs,Pete Crow-Armstrong Home Runs
0QA239089014#187857953_13L84240Q1475630076Q20,2,239089014,2+,+9000,91,91.00,90/1,None Specified,Pete Crow-Armstrong,Unknown,None Specified,910053,['SGP'],"[{'id': '494682', 'name': 'Pete Crow-Armstrong', 'type': 'Player'}]",Batter Props,Home Runs,Pete Crow-Armstrong Home Runs
0QA239088995#187857908_13L84240Q1-446308922Q20,2,239088995,1+,+500,6,6.00,5/1,None Specified,Seiya Suzuki,Unknown,True,60008,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '112834', 'name': 'Seiya Suzuki', 'type': 'Player'}]",Batter Props,Home Runs,Seiya Suzuki Home Runs
0QA239088995#187857909_13L84240Q1475630076Q20,2,239088995,2+,+5500,56,56.00,55/1,None Specified,Seiya Suzuki,Unknown,None Specified,560009,['SGP'],"[{'id': '112834', 'name': 'Seiya Suzuki', 'type': 'Player'}]",Batter Props,Home Runs,Seiya Suzuki Home Runs
0QA239088979#187857901_13L84240Q1-446308922Q20,2,239088979,1+,+285,3.85,3.85,57/20,None Specified,Shohei Ohtani,Unknown,True,38501,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '32242', 'name': 'Shohei Ohtani', 'type': 'Player'}]",Batter Props,Home Runs,Shohei Ohtani Home Runs
0QA239088979#187857902_13L84240Q1475630076Q20,2,239088979,2+,+2000,21,21.00,20/1,None Specified,Shohei Ohtani,Unknown,None Specified,210002,['SGP'],"[{'id': '32242', 'name': 'Shohei Ohtani', 'type': 'Player'}]",Batter Props,Home Runs,Shohei Ohtani Home Runs
0QA239088970#187857868_13L84240Q1-446308922Q20,2,239088970,1+,+390,4.9,4.90,39/10,None Specified,Teoscar Hernandez,Unknown,True,49068,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '31969', 'name': 'Teoscar Hernandez', 'type': 'Player'}]",Batter Props,Home Runs,Teoscar Hernandez Home Runs
0QA239088970#187857869_13L84240Q1475630076Q20,2,239088970,2+,+4000,41,41.00,40/1,None Specified,Teoscar Hernandez,Unknown,None Specified,410069,['SGP'],"[{'id': '31969', 'name': 'Teoscar Hernandez', 'type': 'Player'}]",Batter Props,Home Runs,Teoscar Hernandez Home Runs
