providerOutcomeId,providerId,providerOfferId,label,oddsAmerican,oddsDecimal,oddsDecimalDisplay,oddsFractional,line,participant,participantType,main,sortOrder,tags,participants,category,subcategory,prop_label
0HC79308423P600_3,2,2_79308423,PHO Suns,-110,1.90909091,1.90,10/11,6,PHO Suns,Team,True,5999,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32949', 'name': 'PHO Suns', 'type': 'Team'}]",Game Lines,Game,Spread
0HC79308423N600_1,2,2_79308423,MIL Bucks,-110,1.90909091,1.90,10/11,-6,MIL Bucks,Team,True,6001,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32933', 'name': 'MIL Bucks', 'type': 'Team'}]",Game Lines,Game,Spread
0OU79308423O22400_1,2,3_79308423,Over,-110,1.90909091,1.90,10/11,224,,Unknown,True,224000,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0OU79308423U22400_3,2,3_79308423,Under,-110,1.90909091,1.90,10/11,224,,Unknown,True,224002,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0ML79308423_3,2,1_79308423,PHO Suns,+200,3,3.00,2/1,None Specified,PHO Suns,Team,True,1284723556,['SGP'],"[{'id': '32949', 'name': 'PHO Suns', 'type': 'Team'}]",Game Lines,Game,Moneyline
0ML79308423_1,2,1_79308423,MIL Bucks,-245,1.40816327,1.40,20/49,None Specified,MIL Bucks,Team,True,1284725552,['SGP'],"[{'id': '32933', 'name': 'MIL Bucks', 'type': 'Team'}]",Game Lines,Game,Moneyline
0HC79308447P1350_3,2,2_79308447,PHI 76ers,-112,1.89285715,1.89,25/28,13.5,PHI 76ers,Team,True,13499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32947', 'name': 'PHI 76ers', 'type': 'Team'}]",Game Lines,Game,Spread
0HC79308447N1350_1,2,2_79308447,NY Knicks,-108,1.92592593,1.92,25/27,-13.5,NY Knicks,Team,True,13501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32940', 'name': 'NY Knicks', 'type': 'Team'}]",Game Lines,Game,Spread
0OU79308447O22000_1,2,3_79308447,Over,-110,1.90909091,1.90,10/11,220,,Unknown,True,220000,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0OU79308447U22000_3,2,3_79308447,Under,-110,1.90909091,1.90,10/11,220,,Unknown,True,220002,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0ML79308447_3,2,1_79308447,PHI 76ers,+650,7.5,7.50,13/2,None Specified,PHI 76ers,Team,True,1284724018,['SGP'],"[{'id': '32947', 'name': 'PHI 76ers', 'type': 'Team'}]",Game Lines,Game,Moneyline
0ML79308447_1,2,1_79308447,NY Knicks,-1000,1.1,1.10,1/10,None Specified,NY Knicks,Team,True,1284726014,['SGP'],"[{'id': '32940', 'name': 'NY Knicks', 'type': 'Team'}]",Game Lines,Game,Moneyline
0HC79308403P600_3,2,2_79308403,POR Trail Blazers,-110,1.90909091,1.90,10/11,6,POR Trail Blazers,Team,True,5999,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32952', 'name': 'POR Trail Blazers', 'type': 'Team'}]",Game Lines,Game,Spread
0HC79308403N600_1,2,2_79308403,ATL Hawks,-110,1.90909091,1.90,10/11,-6,ATL Hawks,Team,True,6001,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32892', 'name': 'ATL Hawks', 'type': 'Team'}]",Game Lines,Game,Spread
0OU79308403O23800_1,2,3_79308403,Over,-110,1.90909091,1.90,10/11,238,,Unknown,True,238000,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0OU79308403U23800_3,2,3_79308403,Under,-110,1.90909091,1.90,10/11,238,,Unknown,True,238002,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",None Specified,Game Lines,Game,Total
0ML79308403_3,2,1_79308403,POR Trail Blazers,+190,2.9,2.90,19/10,None Specified,POR Trail Blazers,Team,True,1284723032,['SGP'],"[{'id': '32952', 'name': 'POR Trail Blazers', 'type': 'Team'}]",Game Lines,Game,Moneyline
0ML79308403_1,2,1_79308403,ATL Hawks,-230,1.43478261,1.43,10/23,None Specified,ATL Hawks,Team,True,1284725028,['SGP'],"[{'id': '32892', 'name': 'ATL Hawks', 'type': 'Team'}]",Game Lines,Game,Moneyline
