name,opponent,Points,Fantasy Score,Pts+Rebs+Asts,Pts+Rebs,Pts+Asts,Rebs+Asts,Turnovers,Steals,Assists,Rebounds,3-PT Made,Blocked Shots
Johni Broome,ALST,20.5,46.5,37.5,33.5,26.5,14.5,,,,,,
Colin Smalls,MSM,8,,11.5,10.5,9.5,,0.5,,,,,
Elijah Stephens,MSM,9.5,21.5,16.5,12.5,13.5,7,,1.5,,,,
Lincoln Ball,MSM,,,12.5,11,6.5,7.5,,,1.5,,,
Matt Rogers,MSM,16.5,27.5,23.5,22.5,18.5,7,,,,,,
Greg Jones,MSM,10,,15,14,11,,,,,,,
Dola Adebayo,AMER,13.5,26.5,21.5,20.5,,,,,,6.5,,
Dallas Hobbs,AMER,13,22.5,20,17,,,2.5,0.5,,,,
Dailyn Swain,TEX,12,25.5,20.5,18,14.5,8.5,1.5,,2.5,6,,
Dayvion McKnight,TEX,9,,15.5,12,12.5,,1.5,,,,,
Marcus Foster,TEX,7.5,,15,13.5,9,,,,,6,,
Ryan Conwell,TEX,18.5,27.5,24,21,21,,,,2.5,,,
Zach Freemantle,TEX,17.5,31.5,26.5,25,19.5,9,,,,7,,
Arthur Kaluma,XAV,11.5,24.5,19.5,18,12.5,8,,,1.5,6.5,0.5,
Tre Johnson,XAV,19,28.5,25.5,22,22.5,6.5,,,3.5,,,
Jordan Pope,XAV,10,,14.5,12.5,11.5,,,0.5,,,,
Kadin Shedrick,XAV,8.5,,15,14,,,,,,5.5,,
Tramon Mark,XAV,12.5,,17.5,16.5,13.5,6,,,,,,
Jackson McAndrew,LOU,6.5,,12.5,,7.5,5.5,,,,,,
Jamiya Neal,LOU,12.5,24.5,22.5,18.5,16.5,,2.5,,,,1.5,
Jasen Green,LOU,7,,12.5,11.5,8.5,,,,,,,
Ryan Kalkbrenner,LOU,20.5,38.5,30.5,29.5,22.5,10.5,,,,,0.5,
Steven Ashworth,LOU,15,29.5,25.5,19.5,22,10.5,,,5.5,4.5,,
Chucky Hepburn,CREI,16.5,31.5,25.5,20.5,21.5,9.5,,1.5,5,,1.5,
J'Vonne Hadley,CREI,12.5,,21,19,13.5,8.5,,,1.5,,,
Reyne Smith,CREI,11.5,,15.5,14.5,12.5,,,,,,,
Terrence Edwards Jr.,CREI,19.5,29.5,26.5,24,21.5,7.5,,,,4.5,,
Kezza Giffa,PUR,14.5,,19.5,16.5,16.5,,,,,,,
Kimani Hamilton,PUR,11.5,20.5,18.5,16.5,14.5,6.5,,0.5,,,,
Braden Smith,HP,18.5,38.5,31.5,23.5,26.5,13,2.5,,,,,
Trey Kaufman-Renn,HP,23.5,35.5,32.5,30.5,25.5,9,,,,,,
C.J. Cox,HP,5.5,,9.5,,,,,,0.5,,,
Fletcher Loyer,HP,14.5,,18.5,17.5,16,,,0.5,,,,
Myles Colvin,HP,5.5,,,,,,,,,,,
Caleb Furst,HP,,,7.5,,,,,,,4.5,,
Money Williams,WIS,12.5,,18.5,,,,,,,,,
Brandon Whitney,WIS,9.5,,14.5,12,12,,,0.5,,,0.5,
John Tonje,MONT,21.5,33,30.5,28,23.5,8.5,,0.5,,6.5,,
Joe Pridgen,WIS,9.5,,16.5,15.5,10.5,6.5,1.5,0.5,,,,0.5
John Blackwell,MONT,16.5,26.5,24.5,22,19,7,1.5,,,,1.5,
Kai Johnson,WIS,10,,15,13,12,4.5,,0.5,,,,
Malik Moore,WIS,9.5,,14.5,13,11.5,,,0.5,1.5,,1.5,
Te'Jon Sawyer,WIS,8.5,,14,13,10,5.5,,,,,,
Kamari McGee,MONT,6,,10.5,9,7.5,,0.5,,,,,
Max Klesmit,MONT,8.5,,13.5,11.5,10.5,,,,,2.5,,
Nolan Winter,MONT,9,,,14,9.5,,,,,,,
Steven Crowl,MONT,10.5,,18.5,16.5,13.5,8,1.5,,,5.5,,
Carter Gilmore,MONT,,,,7.5,6.5,,,,,,0.5,
Emanuel Sharp,SIUE,12.5,,17.5,16.5,13.5,,,,,,,
LJ Cryer,SIUE,15,22.5,19.5,17.5,16.5,4.5,,,,,,
Milos Uzan,SIUE,12.5,22.5,19.5,15.5,16.5,7,,,,2.5,,
Brian Taylor,HOU,7,,,,,,,,,,,
Ray'Sean Taylor,HOU,14.5,22.5,20.5,17.5,16.5,6,,,,,,
Ring Malith,HOU,8,,,,,,,,,,,
Amarr Knox,AUB,,,17.5,15.5,15.5,3.5,1.5,,,,,
CJ Hines,AUB,,,15.5,13.5,13.5,,,,,,,
T.J. Madlock,AUB,11.5,23.5,20,18,13.5,,,,,,,
Chad Baker-Mazara,ALST,,26.5,20,17,16.5,6.5,,,,,,
Denver Jones,ALST,,,17,14.5,14.5,5.5,,,,,,
Dylan Cardwell,ALST,,,11.5,10,,,,,,,,
Miles Kelly,ALST,,,19.5,18.5,14.5,,,,,,,
Tahaad Pettiford,ALST,11,,17,14.5,14,6,,,,,,
Chase Hunter,MCNS,15.5,27.5,22.5,19.5,19,6.5,2.5,,,3.5,,
Ian Schieffelin,MCNS,11.5,28.5,23.5,21.5,14.5,11.5,1.5,,,,,
Jaeden Zackery,MCNS,11.5,,18.5,15,14.5,6.5,,1.5,,3.5,,
Viktor Lakhin,MCNS,13.5,28.5,21.5,20,15,8.5,,,,,,
Christian Shumate,CLEM,10,,16.5,,10.5,,,,,,,
Javohn Garcia,CLEM,10.5,20.5,16.5,14.5,12,,,,,3.5,,
Quadir Copeland,CLEM,8,19.5,14.5,,,,,,,,,
Sincere Parker,CLEM,8.5,,,,,,,,,,,
Egor Demin,VCU,10,21.5,17.5,13.5,14,7.5,,,,3.5,,
Richie Saunders,VCU,16.5,25.5,22.5,21.5,18,5.5,1.5,,,4.5,,
Jack Clark,BYU,10,,18,16.5,11.5,8,,,1.5,6.5,,
Joe Bamisile,BYU,13.5,20.5,19.5,18,15,5.5,,,,,1.5,
Max Shulga,BYU,14.5,29.5,24,20,18.5,9.5,1.5,,,5.5,,
Luke Bamgboye,BYU,,,9.5,,,,,,,,,
Dallin Hall,VCU,7.5,,12.5,9.5,10.5,,,,,,,
Keba Keita,VCU,6.5,,14.5,14,7.5,7.5,,,,,,
Mawot Mag,VCU,5.5,,,,,,,,,,,
Phillip Russell,BYU,8.5,,12.5,10.5,10.5,,,,,,,
Zeb Jackson,BYU,10,,,,,,,,,,,
Graham Ike,UGA,16.5,30.5,25.5,24.5,18.5,8.5,1.5,0.5,,7.5,,
Ryan Nembhard,UGA,,31.5,22.5,13.5,18.5,11.5,,,8.5,,,
Khalif Battle,UGA,13.5,,18.5,17.5,15.5,,1.5,,,3.5,,
Nolan Hickman,UGA,10.5,,14.5,12.5,12.5,,,,,,,
Asa Newell,GONZ,15,27.5,22.5,21.5,15.5,,,0.5,,6.5,,
Blue Cain,GONZ,11,,17.5,16.5,12.5,,,,,,,
Silas Demary Jr.,GONZ,15.5,27.5,22.5,19.5,19.5,,,,,3.5,,
Tyrin Lawrence,GONZ,,,,,,,,0.5,,,,
Chaz Lanier,WOF,17.5,25.5,22.5,21,18,,,,,,,
Felix Okpara,WOF,6.5,,,,,,,,,,,1.5
Igor Milicic,WOF,,,16.5,14.5,11,6.5,,,,,,
Jahmai Mashack,WOF,6.5,,,,,,,,,,,
Jordan Gainey,WOF,11.5,,17.5,15.5,13.5,5.5,,,,,1.5,
Zakai Zeigler,WOF,15.5,33.5,25.5,18.5,23,10.5,,,7,,,
Corey Tripp,TENN,11.5,,18.5,15.5,14.5,6.5,2.5,0.5,,,,
Dillon Bailey,TENN,7.5,,11.5,10.5,8.5,3.5,,0.5,,2.5,,
Jackson Sivills,TENN,7.5,,12.5,11.5,8.5,,,,,,,
Kyler Filewich,TENN,10.5,22.5,19.5,16.5,,,,,,6.5,,
D.J. Wagner,KU,11.5,20.5,17.5,14.5,15.5,6,,,3.5,,,
Johnell Davis,KU,13.5,,18.5,17.5,15.5,,,1.5,1.5,,1.5,
Trevon Brazile,KU,10,24.5,19.5,18.5,,9.5,,,,8.5,,
Dajuan Harris Jr.,ARK,8.5,22.5,17.5,12.5,13.5,9,,,5.5,3.5,,
Hunter Dickinson,ARK,19.5,36.5,31.5,30,21.5,11.5,,,1.5,,0.5,
KJ Adams Jr.,ARK,9.5,,18.5,16.5,,8.5,,,,,,0.5
Zeke Mayo,ARK,14.5,25.5,22.5,19.5,16.5,8,,,2.5,5.5,,
Pharrel Payne,YALE,8.5,,13.5,13,,,,,,,,
Andersson Garcia,YALE,7.5,,16.5,15,,9,,,,7,,
Wade Taylor IV,YALE,16.5,27.5,25,20.5,21,8,,,,3.5,,
Henry Coleman III,YALE,7.5,,14.5,,7.5,6.5,,,,6.5,,
Zhuric Phelps,YALE,13,22.5,19,17,15,,,,,,,
Bez Mbeng,TXAM,13,30.5,24.5,19,18.5,11.5,,,5,6,,
Nick Townsend,TXAM,13,29.5,23,19.5,17,10,,,3.5,6,,
Casey Simmons,TXAM,8,,13,,,,,,,,,0.5
John Poulakidas,TXAM,17,,22,20,18.5,,,,,,,
